searge,name,side,desc
f_10000_,loot,2,
f_10001_,recipes,2,
f_10002_,function,2,
f_100042_,watcher,0,
f_100043_,packPath,0,
f_100053_,INCOMPATIBLE_TITLE,0,
f_100054_,INCOMPATIBLE_CONFIRM_TITLE,0,
f_100055_,title,0,
f_100075_,minecraft,0,
f_100077_,parent,0,
f_100078_,pack,0,
f_10013_,connection,2,
f_10014_,UNIQUE_THREAD_ID,2,
f_10015_,LOGGER,2,
f_100173_,recipeButtons,0,
f_100174_,isVisible,0,
f_100175_,x,0,
f_100176_,y,0,
f_100178_,collection,0,
f_100179_,lastRecipeClicked,0,
f_100181_,isFurnaceMenu,0,
f_10018_,server,2,
f_10019_,state,2,
f_10020_,tick,2,
f_100227_,this$0,0,
f_100228_,recipe,0,
f_100229_,isCraftable,0,
f_10022_,serverId,2,
f_100250_,ingredients,0,
f_100251_,x,0,
f_100252_,y,0,
f_100268_,RECIPE_BOOK_LOCATION,0,
f_100270_,filterButton,0,
f_100271_,menu,0,
f_100272_,minecraft,0,
f_100273_,SEARCH_HINT,0,
f_100275_,ALL_RECIPES_TOOLTIP,0,
f_100276_,xOffset,0,
f_100277_,width,0,
f_100278_,height,0,
f_100279_,tabButtons,0,
f_100280_,selectedTab,0,
f_100281_,searchBox,0,
f_100282_,lastSearch,0,
f_100283_,book,0,
f_100284_,recipeBookPage,0,
f_100285_,stackedContents,0,
f_100286_,timesInventoryChanged,0,
f_100287_,ignoreTextInput,0,
f_100394_,buttons,0,
f_100395_,hoveredButton,0,
f_100396_,overlay,0,
f_100397_,minecraft,0,
f_100399_,recipeCollections,0,
f_100400_,forwardButton,0,
f_100401_,backButton,0,
f_100402_,totalPages,0,
f_100403_,currentPage,0,
f_100404_,recipeBook,0,
f_100405_,lastClickedRecipe,0,
f_100406_,lastClickedRecipeCollection,0,
f_100446_,animationTime,0,
f_100462_,MORE_RECIPES_TOOLTIP,0,
f_100465_,collection,0,
f_100467_,animationTime,0,
f_100493_,craftable,0,
f_100529_,SKIN_SHADE,0,
f_100530_,BG_FILL,0,
f_100531_,BG_FILL_REMOVED,0,
f_100532_,PLAYERNAME_COLOR,0,
f_100533_,PLAYER_STATUS_COLOR,0,
f_100534_,minecraft,0,
f_100535_,children,0,
f_100536_,id,0,
f_100537_,playerName,0,
f_100538_,skinGetter,0,
f_100539_,isRemoved,0,
f_100540_,hideButton,0,
f_100541_,showButton,0,
f_100544_,tooltipHoverTime,0,
f_100545_,HIDDEN,0,
f_100546_,BLOCKED,0,
f_100547_,OFFLINE,0,
f_100548_,HIDDEN_OFFLINE,0,
